TableName,ColumnName,DataType,ColumnDescription
dim_customer,customer_id,String,Mã khách hàng
dim_customer,group_customer_id,String,Mã nhóm khách hàng
dim_customer,customer_name_encrypted,String,Tên của khách hàng
dim_customer,customer_age,Int64,Tuổi của khách hàng
dim_customer,customer_gender,String,Giới tính của khách hàng
dim_customer,customer_pronoun,String,Danh xưng của khách hàng
dim_customer,customer_province_code,String,Mã tỉnh/ thành phố của khách hàng
dim_customer,customer_province_name,String,Tên tỉnh/ thành phố của khách hàng
dim_customer,customer_ward_code,String,Mã phường/ xã của khách hàng
dim_customer,customer_ward_name,String,Tên phường/ xã của khách hàng
dim_customer,customer_address,String,Địa chỉ khách hàng
dim_customer,customer_hometown,String,Quê quán của khách hàng
dim_customer,customer_career,String,Nghề nghiệp của khách hàng
dim_customer,_record_date,Date,Thời điểm ETL/load dữ liệu
dim_customer_contact,contact_id,String,Mã liên lạc của khách hàng
dim_customer_contact,customer_id,String,Mã khách hàng
dim_customer_contact,type,String,Loại thông tin liên hệ
dim_customer_contact,value_hashed,String,Giá trị thông tin liên hệ đã được hash
dim_customer_contact,value_encrypted,String,Giá trị thông tin liên hệ đã được mã hóa
dim_customer_contact,is_primary,UInt8,Thông tin liên hệ chính hay không?
dim_customer_contact,is_verified,UInt8,Thông tin liên hệ đã được xác thực hay không?
dim_customer_contact,created_timestamp,Datetime,Ngày tạo thông tin liên hệ trong hệ thống
dim_customer_contact,last_updated_timestamp,Datetime,Lần cuối cùng cập nhật thông tin liên hệ
dim_customer_contact,available_service,Array(String),Danh sách các dịch vụ sử dụng  thông tin liên hệ
dim_customer_contact,_record_date,Date,Thời điểm ETL/load dữ liệu
dim_customer_group,group_customer_id,String,Mã nhóm khách hàng
dim_customer_group,primary_customer_name_encrypted,String,Tên khách hàng đại diện cho nhóm
dim_customer_group,primary_customer_age,Int64,Tuổi của khách hàng đại diện cho nhóm
dim_customer_group,primary_customer_gender,String,Giới tính của khách hàng đại diện cho nhóm
dim_customer_group,primary_customer_pronoun,String,Danh xưng của khách hàng đại diện cho nhóm
dim_customer_group,primary_customer_province_code,String,Mã tỉnh/ thành phố của khách hàng đại diện cho nhóm
dim_customer_group,primary_customer_ward_code,String,Mã phường/ xã của khách hàng đại diện cho nhóm
dim_customer_group,primary_customer_hometown,String,Quê quán của khách hàng đại diện cho nhóm
dim_customer_group,primary_customer_career,String,Nghề nghiệp của khách hàng đại diện cho nhóm
dim_customer_group,_record_date,Date,Thời điểm ETL/load dữ liệu
dim_customer_event_group,id,String,ID bảng
dim_customer_event_group,customer_id,String,Mã khách hàng
dim_customer_event_group,leader_id,String,Mã trưởng nhóm sự kiện
dim_customer_event_group,member_ids,Array(String),Danh sách thành viên của nhóm sự kiện
dim_customer_event_group,event,String,Tên sự kiện
dim_customer_event_group,_record_date,Date,Thời điểm ETL/load dữ liệu
dim_customer_address_history,id,String,ID bảng
dim_customer_address_history,customer_id,String,Mã khách hàng
dim_customer_address_history,address,String,Địa chỉ khách hàng
dim_customer_address_history,province_code,String,Mã tỉnh/ thành phố
dim_customer_address_history,province_name,String,Tên tỉnh/ thành phố
dim_customer_address_history,ward_code,String,Mã phường/ xã
dim_customer_address_history,ward_name,String,Tên phường/ xã
dim_customer_address_history,type,String,Phân biệt loại địa chỉ
dim_customer_address_history,status,UInt8,Trạng thái còn đang sử dụng
dim_customer_address_history,_record_date,Date,Thời điểm ETL/load dữ liệu
fact_order_vac,order_detail_id,String,ID chi tiết đơn hàng
fact_order_vac,attachment_code,String,Mã mũi tiêm
fact_order_vac,item_code,String,SKU hàng hóa/vaccine
fact_order_vac,customer_id,String,Mã khách hàng
fact_order_vac,lcv_id,String,ID khách hàng trên hệ thống Long Châu Vaccine
fact_order_vac,order_code,String,Mã đơn hàng
fact_order_vac,order_status,String,Trạng thái đơn
fact_order_vac,order_creation_date,Date,Thời điểm KH khởi tạo đơn
fact_order_vac,order_completion_date,Date,Thời điểm nhân viên/hệ thống hoàn tất đơn
fact_order_vac,order_type,String,Loại đơn
fact_order_vac,package_type,String,Loại đơn lẻ hay gói
fact_order_vac,order_attribute,String,Thuộc tính đơn (mã phân loại bổ sung)
fact_order_vac,order_channel,String,Kênh đặt/mua hàng
fact_order_vac,payment_method,String,Phương thức thanh toán
fact_order_vac,shop_code,String,Mã cơ sở/shop phát sinh đơn
fact_order_vac,shop_name,String,Tên cơ sở/shop phát sinh đơn
fact_order_vac,item_name,String,Tên dòng hàng/dịch vụ
fact_order_vac,item_quantity,Int64,Số lượng
fact_order_vac,item_price,Decimal64(2),Đơn giá
fact_order_vac,item_servicefee,Decimal64(2),Phí dịch vụ của dòng (nếu tách riêng)
fact_order_vac,item_amount,Decimal64(2),Thành tiền trước giảm
fact_order_vac,item_servicefee_percent,Decimal64(2),% phí dịch vụ
fact_order_vac,item_discount_promotion,Decimal64(2),Giảm giá từ CTKM/promotion
fact_order_vac,item_discount,Decimal64(2),Giảm giá khác/chiết khấu bổ sung
fact_order_vac,item_amount_after_discount,Decimal64(2),Thành tiền sau giảm
fact_order_vac,item_unit_code,String,Mã đơn vị tính
fact_order_vac,item_unit_name,String,Tên đơn vị tính
fact_order_vac,item_discount_reason_code,String,Mã lý do giảm giá
fact_order_vac,item_discount_reason_name,String,Tên lý do giảm giá
fact_order_vac,is_partial_payment,UInt8,Flag đánh dấu thanh toán một phần
fact_order_vac,order_injection,Int64,Số thứ tự mũi tiêm (nếu vaccine có nhiều mũi)
fact_order_vac,_record_date,Date,Thời điểm ETL/load dữ liệu
fact_return_order_vac,return_order_detail_id,String,ID chi tiết đơn trả/hoàn
fact_return_order_vac,return_order_code,String,Mã đơn trả/hoàn
fact_return_order_vac,attachment_code,String,Mã mũi tiêm
fact_return_order_vac,customer_id,String,Mã khách hàng
fact_return_order_vac,lcv_id,String,ID khách hàng trên hệ thống Long Châu Vaccine
fact_return_order_vac,item_code,String,SKU hàng hóa/vaccine được trả
fact_return_order_vac,return_date,Date,Thời điểm thực hiện trả/hoàn
fact_return_order_vac,order_code,String,Mã đơn mua
fact_return_order_vac,order_status,String,Trạng thái đơn (mã)
fact_return_order_vac,shop_code,String,Mã cơ sở/shop xử lý trả/hoàn
fact_return_order_vac,warehouse_code,String,Mã kho nhập trả
fact_return_order_vac,warehouse_name,String,Tên kho nhập trả
fact_return_order_vac,return_line_item_name,String,Tên dòng hàng/dịch vụ trả
fact_return_order_vac,return_line_item_quantity,Int64,Số lượng trả
fact_return_order_vac,return_line_item_price,Decimal64(2),Đơn giá trả
fact_return_order_vac,return_line_item_servicefee_percent,Decimal64(2),% phí dịch vụ của dòng trả
fact_return_order_vac,return_line_item_servicefee,Decimal64(2),Phí dịch vụ của dòng trả
fact_return_order_vac,return_line_item_amount,Decimal64(2),Thành tiền dòng trả trước giảm
fact_return_order_vac,return_line_item_discount_promotion,Decimal64(2),Giảm giá CTKM phân bổ cho dòng trả
fact_return_order_vac,return_line_item_discount,Decimal64(2),Giảm giá khác/chiết khấu bổ sung
fact_return_order_vac,return_line_item_amount_after_discount,Decimal64(2),Thành tiền dòng trả sau giảm
fact_return_order_vac,order_injection,Int64,Số thứ tự mũi tiêm (nếu vaccine có nhiều mũi)
fact_return_order_vac,_record_date,Date,Thời điểm ETL/load dữ liệu
fact_immunization_vac,indication_id,String,ID chỉ định tiêm
fact_immunization_vac,attachment_code,String,Mã mũi tiêm
fact_immunization_vac,customer_id,String,Mã khách hàng
fact_immunization_vac,person_id,String,ID người tiêm/ khách hàng
fact_immunization_vac,lcv_id,String,ID khách hàng trên hệ thống Long Châu Vaccine
fact_immunization_vac,indication_note,String,Ghi chú chỉ định
fact_immunization_vac,indication_status,String,Mã trạng thái chỉ định
fact_immunization_vac,item_code,String,SKU sản phẩm vaccine
fact_immunization_vac,product_item_code,String,Mã hàng/mã sản phẩm theo hệ bán hàng/ERP
fact_immunization_vac,vaccine_name,String,Tên vaccine
fact_immunization_vac,disease_name,String,Tên bệnh/đối tượng phòng bệnh
fact_immunization_vac,disease_group_id,String,ID nhóm bệnh
fact_immunization_vac,disease_group_name,String,Tên nhóm bệnh
fact_immunization_vac,regimen_id,String,ID phác đồ tiêm áp dụng
fact_immunization_vac,regimen_name,String,Tên phác đồ tiêm
