Dịch vụ,Nhóm dữ liệu,Tên dữ liệu,Mô tả
Vaccine,Customer Profile,dim_customer,Lưu trữ thông tin cá nhân của khách hàng
Vaccine,Customer Profile,dim_customer_contact,Lưu trữ thông tin liên lạc của khách hàng
Vaccine,Customer Profile,dim_customer_group,Lưu trữ thông tin nhóm khách hàng
Vaccine,Customer Profile,dim_customer_event_group,Lưu trữ thông tin nhóm khách hàng theo sự kiện
Vaccine,Customer Profile,dim_customer_address_history,Lưu trữ thông tin địa chỉ của khách hàng lĩnh vực vắc xin
Vaccine,Order,fact_order_vac,Lưu trữ thông tin đơn hàng chi tiết của vắc xin (bao gồm đơn bán và đơn trả) lĩnh vực vắc xin
Vaccine,Order,fact_return_order_vac,Lưu trữ thông tin đơn hàng trả của vaccine lĩnh vực vắc xin
Vaccine,Immunization Event,fact_immunization_vac,Lưu trữ thông tin các sự kiện tiêm của khách hàng lĩnh vực vắc xin
Vaccine,Immunization Event,dim_regimen_vac,Lưu trữ thông tin phác đồ điều trị của từng loại vắc xin lĩnh vực vắc xin
Vaccine,Shop,dim_shop_vac,Lưu trữ thông tin trung tâm tiêm chủng Long Châu lĩnh vực vắc xin
Vaccine,Product,dim_product_vac,Lưu trữ thông tin sản phẩm lĩnh vực vắc xin
Vaccine,Geography,dim_province,Lưu trữ thông tin tỉnh/thành phố theo danh mục Hành Chính Quốc Gia
Vaccine,Geography,dim_ward,Lưu trữ thông tin phường/xã theo danh mục Hành Chính Quốc Gia
FSHOP,Event Data,fact_session,"Bảng lưu thông tin tổng hợp của mỗi phiên truy cập (session) của người dùng, bao gồm thời gian bắt đầu, kết thúc, thiết bị sử dụng và thông tin phiên trước đó."
FSHOP,Event Data,fact_session_detail,"Bảng ghi nhận từng sự kiện (event) xảy ra trong một session, bao gồm thời gian event, trang truy cập, và event được thực hiện."
FSHOP,Event Data,fact_event_params,"Bảng lưu các tham số động của event (event parameters) theo dạng key-value, ví dụ: order_id, payment_type, search_value."
FSHOP,Master Data,dim_event,"Bảng dimension mô tả định nghĩa của các event, bao gồm vị trí xảy ra event và tên event."
FSHOP,Master Data,dim_device,"Bảng dimension mô tả thông tin thiết bị của người dùng, bao gồm brand, model, hệ điều hành và trình duyệt."
FSHOP,Master Data,dim_item,"Bảng dimension mô tả thông tin sản phẩm."
